conversion_id,click_id,revenue
2000,100013,1.173893
2001,100016,0.388161
2002,100019,0.678304
2003,100020,0.728844
2004,100025,0.60824
2005,100026,1.142528
2006,100027,0.562476
2007,100032,0.825803
2008,100038,1.047481
2009,100040,0.892011
2010,100050,0.399497
2011,100055,1.295414
2012,100057,0.332151
2013,100064,0.938184
2014,100085,1.101157
2015,100087,1.197243
2016,100091,1.135787
2017,100096,0.965211
2018,100097,0.728546
2019,100104,1.383605
2020,100125,0.889286
2021,100129,0.353745
2022,100144,1.02497
2023,100160,0.507347
2024,100162,0.441346
2025,100167,0.631612
2026,100175,0.308411
2027,100179,0.379881
2028,100181,1.078232
2029,100198,1.087596
2030,100202,1.190829
2031,100227,1.08564
2032,100230,1.389993
2033,100234,0.524358
2034,100246,0.910138
2035,100276,0.6227
2036,100285,1.250236
2037,100295,0.339584
2038,100299,0.306775
2039,100318,0.981382
2040,100324,0.360263
2041,100327,1.027878
2042,100355,1.026956
2043,100362,0.916231
2044,100364,1.163351
2045,100374,0.400386
2046,100388,0.628286
2047,100390,0.390072
2048,100396,1.036339
2049,100406,1.030964
2050,100412,0.446794
2051,100418,0.807898
2052,100435,0.999554
2053,100450,0.974436
2054,100476,1.003348
2055,100485,0.618289
2056,100519,1.273726
2057,100520,0.858511
2058,100522,1.102707
2059,100525,0.985353
2060,100546,0.656979
2061,100548,0.969656
2062,100549,1.127331
2063,100553,0.951161
2064,100564,1.182574
2065,100567,0.409567
2066,100571,1.138066
2067,100584,1.196159
2068,100585,1.239823
2069,100591,0.420639
2070,100597,0.701459
2071,100607,1.211619
2072,100610,1.231981
2073,100611,0.354901
2074,100617,1.171291
2075,100624,0.691904
2076,100629,0.504712
2077,100631,0.605873
2078,100642,0.7938
2079,100645,1.352535
2080,100652,0.995474
2081,100653,1.048427
2082,100654,1.472787
2083,100660,1.43263
2084,100673,1.23984
2085,100682,1.40505
2086,100687,0.50626
2087,100688,1.061612
2088,100692,0.92275
2089,100699,1.229993
2090,100701,0.304112
2091,100702,1.279835
2092,100710,0.958277
2093,100723,1.299177
2094,100742,0.607052
2095,100770,1.473685
2096,100774,1.181709
2097,100786,1.060704
2098,100793,0.901847
2099,100794,0.368829
2100,100808,1.440891
2101,100833,1.371397
2102,100835,1.384084
2103,100842,0.325103
2104,100866,0.609769
2105,100874,0.609987
2106,100880,1.153005
2107,100883,0.967358
2108,100886,0.820132
2109,100888,1.396676
2110,100889,1.034633
2111,100905,0.42875
2112,100908,0.359804
2113,100913,1.13914
2114,100920,1.312417
2115,100924,0.569077
2116,100926,0.4343
2117,100930,0.651105
2118,100934,1.018121
2119,100937,0.877573
2120,100959,1.295098
2121,100960,0.835374
2122,100961,1.365626
2123,100967,1.149838
2124,100974,1.350475
2125,100979,1.438722
2126,101002,1.485562
2127,101022,1.375402
2128,101032,0.537741
2129,101038,1.008947
2130,101044,0.822298
